ALG1,SM3,alg_consumers,alg_criminaljustice,alg_job,alg_job2,attention,sex,age_cat,educ,hispanic,race,state
Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,Male,33,"Bachelor's degree (for example: BA, BS)",Yes,White,Oklahoma
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Not acceptable,No answer,Silver,Female,39,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Yes,White,California
It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Not acceptable,Acceptable,Acceptable,Silver,Female,56,High school graduate (including GED or alternative credential),No,White,New Jersey
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not fair at all,Not acceptable,Not acceptable,Acceptable,Silver,Male,27,"Bachelor's degree (for example: BA, BS)",No,"White, Black or African American, Other",Florida
Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Somewhat fair,Acceptable,Not acceptable,Not Acceptable,Silver,Male,30,"Bachelor's degree (for example: BA, BS)",No,Black or African American,Washington
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not fair at all,Not acceptable,Not acceptable,Not Acceptable,Silver,Male,29,"Some college or Associate's Degree (for example: AA, AS)",No,White,Florida
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Very fair,Acceptable,Acceptable,Acceptable,Silver,Male,45,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,White,California
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Not acceptable,Acceptable,Silver,Male,28,"Bachelor's degree (for example: BA, BS)",No,White,New York
It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Not very fair,Acceptable,Not acceptable,Acceptable,Silver,Male,29,"Bachelor's degree (for example: BA, BS)",No,White,Ohio
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Not Acceptable,Silver,Female,54,"Bachelor's degree (for example: BA, BS)",No,Black or African American,New Mexico
It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Not fair at all,Acceptable,Not acceptable,Acceptable,Silver,Female,64,"Bachelor's degree (for example: BA, BS)",No,White,Florida
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Somewhat fair,Not acceptable,Not acceptable,No answer,Silver,Male,34,"Bachelor's degree (for example: BA, BS)",No,White,Massachusetts
It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Acceptable,Acceptable,Not Acceptable,Silver,Male,41,"Some college or Associate's Degree (for example: AA, AS)",No,Asian or Asian-American,Florida
It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,Male,42,"Some college or Associate's Degree (for example: AA, AS)",No,Black or African American,Florida
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Somewhat fair,Acceptable,Not acceptable,Not Acceptable,Silver,Female,35,"Bachelor's degree (for example: BA, BS)",No,White,Alabama
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Not very fair,Acceptable,Not acceptable,Acceptable,Silver,Male,35,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,White,Connecticut
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not very fair,Not acceptable,Not acceptable,Not Acceptable,Silver,Female,60,"Some college or Associate's Degree (for example: AA, AS)",No,White,Kentucky
Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Very fair,Not acceptable,Not acceptable,Not Acceptable,Silver,Female,31,High school graduate (including GED or alternative credential),No,Black or African American,Illinois
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not very fair,Not acceptable,Not acceptable,Not Acceptable,Silver,Male,47,High school graduate (including GED or alternative credential),No,White,Pennsylvania
It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Not acceptable,Acceptable,Not Acceptable,Silver,Male,32,High school graduate (including GED or alternative credential),No,White,Rhode Island
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,Female,54,"Bachelor's degree (for example: BA, BS)",No,Black or African American,New Mexico
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not very fair,Not acceptable,Acceptable,Not Acceptable,Silver,Male,29,"Some college or Associate's Degree (for example: AA, AS)",No,Black or African American,Tennessee
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Not fair at all,Not acceptable,Acceptable,Not Acceptable,Silver,Male,32,"Some college or Associate's Degree (for example: AA, AS)",No,White,Oregon
Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,Male,46,"Bachelor's degree (for example: BA, BS)",Yes,White,California
Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Somewhat fair,Acceptable,Not acceptable,Acceptable,Silver,Female,30,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,White,Tennessee
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Not very fair,Not acceptable,Not acceptable,Not Acceptable,Silver,Female,23,"Some college or Associate's Degree (for example: AA, AS)",No,Asian or Asian-American,Texas
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not very fair,Not acceptable,Not acceptable,Not Acceptable,Silver,Female,38,High school graduate (including GED or alternative credential),No,Black or African American,New York
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Not very fair,Acceptable,Not acceptable,Acceptable,Silver,Male,35,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,White,Connecticut
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,Male,26,"Bachelor's degree (for example: BA, BS)",Yes,White,Texas
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not fair at all,Not acceptable,Not acceptable,Not Acceptable,Silver,Male,28,"Bachelor's degree (for example: BA, BS)",No,White,Kentucky
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Not Acceptable,Silver,Male,40,"Bachelor's degree (for example: BA, BS)",No,White,North Carolina
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not very fair,Not acceptable,Acceptable,Not Acceptable,Silver,Male,41,"Bachelor's degree (for example: BA, BS)",No,White,Ohio
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Not acceptable,Acceptable,Acceptable,Silver,Male,33,"Bachelor's degree (for example: BA, BS)",No,White,Arizona
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Not very fair,Not acceptable,Acceptable,Not Acceptable,Silver,Female,21,"Bachelor's degree (for example: BA, BS)",No,White,Texas
Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Not very fair,Acceptable,Acceptable,Acceptable,Silver,Female,27,"Bachelor's degree (for example: BA, BS)",No,White,Massachusetts
It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,Male,37,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,Asian or Asian-American,Ohio
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Not fair at all,Not acceptable,Not acceptable,Acceptable,Silver,Female,32,"Bachelor's degree (for example: BA, BS)",No,White,New York
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,Male,37,"Bachelor's degree (for example: BA, BS)",No,White,New York
It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Not acceptable,Not acceptable,Not Acceptable,Silver,Female,58,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,White,North Carolina
It is possible for computer programs to make decisions without human bias,Does not provide an accurate picture,Somewhat fair,Not acceptable,Acceptable,Acceptable,Silver,Female,32,"Bachelor's degree (for example: BA, BS)",No,White,North Carolina
Computer programs will always reflect the biases of the people who designed them,Does not provide an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,Female,25,"Bachelor's degree (for example: BA, BS)",Yes,White,Connecticut
Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,Male,35,"Bachelor's degree (for example: BA, BS)",Yes,"Black or African American, Other",North Carolina
Computer programs will always reflect the biases of the people who designed them,Provides an accurate picture,Very fair,Acceptable,Acceptable,Acceptable,Silver,Male,25,"Postgraduate or professional degree, including Master's, Doctorate, medical, or law degree (for example: MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",No,White,New York
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Not Acceptable,Silver,Female,29,"Bachelor's degree (for example: BA, BS)",No,White,Nevada
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Not very fair,Acceptable,Acceptable,Acceptable,Silver,Male,44,"Bachelor's degree (for example: BA, BS)",No,White,Colorado
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Somewhat fair,Acceptable,Acceptable,Acceptable,Silver,Male,32,"Bachelor's degree (for example: BA, BS)",Yes,Black or African American,Louisiana
It is possible for computer programs to make decisions without human bias,Provides an accurate picture,Very fair,Acceptable,Acceptable,Acceptable,Silver,Male,30,"Bachelor's degree (for example: BA, BS)",Yes,Black or African American,California
